kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 98, key = null, value = Test Message #96 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 99, key = null, value = Test Message #98 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 100, key = null, value = Test Message #0 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 101, key = null, value = Test Message #2 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 102, key = null, value = Test Message #4 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 103, key = null, value = Test Message #6 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 104, key = null, value = Test Message #8 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 105, key = null, value = Test Message #10 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 106, key = null, value = Test Message #12 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 107, key = null, value = Test Message #14 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 108, key = null, value = Test Message #16 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 109, key = null, value = Test Message #18 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 110, key = null, value = Test Message #20 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 111, key = null, value = Test Message #22 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 112, key = null, value = Test Message #24 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 113, key = null, value = Test Message #26 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 114, key = null, value = Test Message #28 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 115, key = null, value = Test Message #30 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 116, key = null, value = Test Message #32 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 117, key = null, value = Test Message #34 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 118, key = null, value = Test Message #36 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 119, key = null, value = Test Message #38 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 120, key = null, value = Test Message #40 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 121, key = null, value = Test Message #42 Filtered
kafkaProject_consumatoriBicicletta.2.hvl0yfhtcnuj@swarm-3    | topic = topic2
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 122, key = null, value = Test Message #44 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 123, key = null, value = Test Message #46 Filtered
